мир	генератор	через_слой	строк	различных	копий	макс_копий
datasets/GENESIS-FULL.txt	gen_genesis_full.py	0	291447	185255	106192	473
datasets/genesis_action_measure.txt	gen_genesis_action_measure.py	1	234	234	0	1
datasets/genesis_action_measure_langs.txt	gen_genesis_action_measure_langs.py	1	462	462	0	1
datasets/genesis_action_pages.txt	gen_genesis_action_pages.py	1	4921	4897	24	2
datasets/genesis_age.txt	gen_genesis_age.py	1	900	826	74	2
datasets/genesis_aggregate.txt	gen_genesis_aggregate.py	1	430	430	0	1
datasets/genesis_algebra.txt	gen_genesis_algebra.py	1	1744	1411	333	2
datasets/genesis_algorithms.txt	gen_genesis_algorithms.py	1	2256	1298	958	2
datasets/genesis_analog.txt	gen_genesis_analog.py	1	144	144	0	1
datasets/genesis_anaphora.txt	gen_genesis_anaphora.py	1	216	216	0	1
datasets/genesis_arith_langs.txt	gen_genesis_arith_langs.py	1	1400	1360	40	2
datasets/genesis_average.txt	gen_genesis_average.py	1	1300	1300	0	1
datasets/genesis_behavior.txt	gen_genesis_behavior.py	1	1608	1608	0	1
datasets/genesis_bignum.txt	gen_genesis_bignum.py	1	937	888	49	2
datasets/genesis_calendar.txt	gen_genesis_calendar.py	1	846	423	423	2
datasets/genesis_calendar_langs.txt	gen_genesis_calendar_langs.py	1	1120	840	280	2
datasets/genesis_chains_langs.txt	gen_genesis_chains_langs.py	1	3092	2889	203	2
datasets/genesis_compare.txt	gen_genesis_compare.py	1	1440	1424	16	2
datasets/genesis_compare_langs.txt	gen_genesis_compare_langs.py	1	480	480	0	1
datasets/genesis_compare_mult.txt	gen_genesis_compare_mult.py	1	2759	1740	1019	5
datasets/genesis_compsci.txt	gen_genesis_compsci.py	1	1372	1086	286	2
datasets/genesis_conversions.txt	gen_genesis_conversions.py	1	176	128	48	2
datasets/genesis_countfacts.txt	gen_genesis_countfacts.py	1	243	243	0	1
datasets/genesis_cross.txt	gen_genesis_cross.py	1	4052	4052	0	1
datasets/genesis_cybernetics.txt	gen_genesis_cybernetics.py	1	1270	1055	215	2
datasets/genesis_dataformat.txt	gen_genesis_dataformat.py	1	640	592	48	2
datasets/genesis_definitions.txt	gen_genesis_definitions.py	1	2141	1354	787	2
datasets/genesis_depletion.txt	gen_genesis_depletion.py	1	304	301	3	2
datasets/genesis_dialogue.txt	gen_genesis_dialogue.py	1	2052	2052	0	1
datasets/genesis_disj.txt	gen_genesis_disj.py	1	216	216	0	1
datasets/genesis_doctree.txt	gen_genesis_doctree.py	1	516	258	258	2
datasets/genesis_equation.txt	gen_genesis_equation.py	1	1366	1210	156	2
datasets/genesis_everyday.txt	gen_genesis_everyday.py	1	4532	3922	610	2
datasets/genesis_formula_lang.txt	gen_genesis_formula_lang.py	1	2583	2488	95	2
datasets/genesis_formulas.txt	gen_genesis_formulas.py	1	1106	905	201	2
datasets/genesis_fractions.txt	gen_genesis_fractions.py	1	188	94	94	2
datasets/genesis_genus_diff.txt	gen_genesis_genus_diff.py	1	1485	1485	0	1
datasets/genesis_geometry.txt	gen_genesis_geometry.py	1	2344	1598	746	2
datasets/genesis_geometry_langs.txt	gen_genesis_geometry_langs.py	1	960	816	144	2
datasets/genesis_glyphs.txt	gen_genesis_glyphs.py	1	1101	984	117	2
datasets/genesis_gsmforms.txt	gen_genesis_gsmforms.py	1	2511	2260	251	2
datasets/genesis_gsmlex.txt	gen_genesis_gsmlex.py	1	400	400	0	1
datasets/genesis_gsmwide.txt	gen_genesis_gsmwide.py	1	900	840	60	2
datasets/genesis_heads.txt	gen_genesis_heads.py	1	560	472	88	2
datasets/genesis_holes.txt	gen_genesis_holes.py	1	6100	6100	0	1
datasets/genesis_hypo.txt	gen_genesis_hypo.py	1	144	144	0	1
datasets/genesis_indu.txt	gen_genesis_indu.py	1	102	102	0	1
datasets/genesis_infer.txt	gen_genesis_infer.py	1	1080	1080	0	1
datasets/genesis_inquiry.txt	gen_genesis_inquiry.py	1	3902	3026	876	2
datasets/genesis_inquiry_de_fr.txt	gen_genesis_inquiry_de_fr.py	1	2108	1566	542	2
datasets/genesis_inquiry_es_it.txt	gen_genesis_inquiry_es_it.py	1	1480	1072	408	2
datasets/genesis_inquiry_pl_tr.txt	gen_genesis_inquiry_pl_tr.py	1	1537	1104	433	2
datasets/genesis_inquiry_pt_nl.txt	gen_genesis_inquiry_pt_nl.py	1	2108	1566	542	2
datasets/genesis_items.txt	gen_genesis_items.py	1	2357	2150	207	2
datasets/genesis_joint2.txt	gen_genesis_joint2.py	1	255	255	0	1
datasets/genesis_joints.txt	gen_genesis_joints.py	1	2700	2700	0	1
datasets/genesis_l1_logic_sets.txt	gen_genesis_logic_sets.py	1	292	214	78	2
datasets/genesis_l3_eng_proof.txt	gen_genesis_eng_proof.py	1	153	119	34	2
datasets/genesis_l3_prog.txt	gen_genesis_prog.py	1	182	144	38	2
datasets/genesis_l4.txt	gen_genesis_l4.py	0	500	100	400	5
datasets/genesis_letters.txt	gen_genesis_letters.py	1	360	360	0	1
datasets/genesis_linalg.txt	gen_genesis_linalg.py	1	3606	3122	484	2
datasets/genesis_links.txt	gen_genesis_links.py	1	17566	17566	0	1
datasets/genesis_longdiv.txt	gen_genesis_longdiv.py	1	674	624	50	2
datasets/genesis_machine.txt	gen_genesis_machine.py	1	1814	1382	432	2
datasets/genesis_markdown.txt	gen_genesis_markdown.py	1	3428	2562	866	53
datasets/genesis_mathfound.txt	gen_genesis_mathfound.py	1	1006	520	486	2
datasets/genesis_mathspaces.txt	gen_genesis_mathspaces.py	1	814	683	131	2
datasets/genesis_md_latex.txt	gen_genesis_md_latex.py	1	3100	1533	1567	420
datasets/genesis_md_structures.txt	gen_genesis_md_structures.py	1	1056	460	596	4
datasets/genesis_measure_story.txt	gen_genesis_measure_story.py	1	1104	912	192	2
datasets/genesis_metalang.txt	gen_genesis_metalang.py	1	1849	1754	95	2
datasets/genesis_money.txt	gen_genesis_money.py	1	450	450	0	1
datasets/genesis_money_langs.txt	gen_genesis_money_langs.py	1	1188	1179	9	2
datasets/genesis_money_story.txt	gen_genesis_money_story.py	1	795	795	0	1
datasets/genesis_nature.txt	gen_genesis_nature.py	1	868	868	0	1
datasets/genesis_notation.txt	gen_genesis_notation.py	1	398	199	199	2
datasets/genesis_notationvar.txt	gen_genesis_notationvar.py	1	5386	5386	0	1
datasets/genesis_numberline.txt	gen_genesis_numberline.py	1	5004	5004	0	1
datasets/genesis_numbers.txt	gen_genesis_numbers.py	1	4220	4190	30	2
datasets/genesis_object.txt	gen_genesis_object.py	1	272	272	0	1
datasets/genesis_opinion.txt	gen_genesis_opinion.py	1	120	120	0	1
datasets/genesis_opposites.txt	gen_genesis_opposites.py	1	648	648	0	1
datasets/genesis_percent.txt	gen_genesis_percent.py	1	560	520	40	2
datasets/genesis_physics.txt	gen_genesis_physics.py	1	1252	1226	26	2
datasets/genesis_physics_langs.txt	gen_genesis_physics_langs.py	1	480	480	0	1
