слова: сила, сито, синий. как они идут по азбуке? сила, синий, сито.
слова: вода, ёлка, дом. как они идут по азбуке? вода, дом, ёлка.
слова: дело, дерево, день. как они идут по азбуке? дело, день, дерево.
слова: река, точка, свет. как они идут по азбуке? река, свет, точка.
слова: сад, сады, садовник. как они идут по азбуке? сад, садовник, сады.
слова: море, мох, мост. как они идут по азбуке? море, мост, мох.
слова: стол, столы, столик. как они идут по азбуке? стол, столик, столы.
слова: вода, воля, волк. как они идут по азбуке? вода, волк, воля.
слова: камень, мост, лес. как они идут по азбуке? камень, лес, мост.
слова: дом, домик, дома. как они идут по азбуке? дом, дома, домик.
слова: гора, круг, звук. как они идут по азбуке? гора, звук, круг.
слова: лес, лесник, леса. как они идут по азбуке? лес, леса, лесник.

words: road, rod, rock. how do they go by the alphabet? road, rock, rod.
words: ash, fire, bell. how do they go by the alphabet? ash, bell, fire.
words: late, lay, law. how do they go by the alphabet? late, law, lay.
words: light, word, road. how do they go by the alphabet? light, road, word.
words: for, forest, fore. how do they go by the alphabet? for, fore, forest.
words: form, fox, fort. how do they go by the alphabet? form, fort, fox.
words: son, songs, song. how do they go by the alphabet? son, song, songs.
words: star, stone, stem. how do they go by the alphabet? star, stem, stone.
words: house, stone, river. how do they go by the alphabet? house, river, stone.
words: art, arts, article. how do they go by the alphabet? art, article, arts.
words: circle, law, field. how do they go by the alphabet? circle, field, law.
words: to, topic, top. how do they go by the alphabet? to, top, topic.

слова: свет, река, точка. как они идут по азбуке? река, свет, точка.
слова: лес, камень, мост. как они идут по азбуке? камень, лес, мост.
слова: дом, вода, ёлка. как они идут по азбуке? вода, дом, ёлка.
слова: столы, стол, столик. как они идут по азбуке? стол, столик, столы.
слова: леса, лес, лесник. как они идут по азбуке? лес, леса, лесник.
слова: сады, сад, садовник. как они идут по азбуке? сад, садовник, сады.
слова: дома, дом, домик. как они идут по азбуке? дом, дома, домик.
слова: день, дело, дерево. как они идут по азбуке? дело, день, дерево.
слова: воля, вода, волк. как они идут по азбуке? вода, волк, воля.
слова: сито, сила, синий. как они идут по азбуке? сила, синий, сито.
слова: мост, море, мох. как они идут по азбуке? море, мост, мох.
слова: звук, гора, круг. как они идут по азбуке? гора, звук, круг.

words: road, light, word. how do they go by the alphabet? light, road, word.
words: river, house, stone. how do they go by the alphabet? house, river, stone.
words: bell, ash, fire. how do they go by the alphabet? ash, bell, fire.
words: song, son, songs. how do they go by the alphabet? son, song, songs.
words: top, to, topic. how do they go by the alphabet? to, top, topic.
words: fore, for, forest. how do they go by the alphabet? for, fore, forest.
words: arts, art, article. how do they go by the alphabet? art, article, arts.
words: law, late, lay. how do they go by the alphabet? late, law, lay.
words: stem, star, stone. how do they go by the alphabet? star, stem, stone.
words: rock, road, rod. how do they go by the alphabet? road, rock, rod.
words: fort, form, fox. how do they go by the alphabet? form, fort, fox.
words: field, circle, law. how do they go by the alphabet? circle, field, law.

слова: сады, садовник, сад. как они идут по азбуке? сад, садовник, сады.
слова: леса, лесник, лес. как они идут по азбуке? лес, леса, лесник.
слова: столы, столик, стол. как они идут по азбуке? стол, столик, столы.
слова: дом, ёлка, вода. как они идут по азбуке? вода, дом, ёлка.
слова: лес, мост, камень. как они идут по азбуке? камень, лес, мост.
слова: свет, точка, река. как они идут по азбуке? река, свет, точка.
слова: звук, круг, гора. как они идут по азбуке? гора, звук, круг.
слова: мост, мох, море. как они идут по азбуке? море, мост, мох.
слова: сито, синий, сила. как они идут по азбуке? сила, синий, сито.
слова: воля, волк, вода. как они идут по азбуке? вода, волк, воля.
слова: день, дерево, дело. как они идут по азбуке? дело, день, дерево.
слова: дома, домик, дом. как они идут по азбуке? дом, дома, домик.

words: fore, forest, for. how do they go by the alphabet? for, fore, forest.
words: top, topic, to. how do they go by the alphabet? to, top, topic.
words: song, songs, son. how do they go by the alphabet? son, song, songs.
words: bell, fire, ash. how do they go by the alphabet? ash, bell, fire.
words: river, stone, house. how do they go by the alphabet? house, river, stone.
words: road, word, light. how do they go by the alphabet? light, road, word.
words: field, law, circle. how do they go by the alphabet? circle, field, law.
words: fort, fox, form. how do they go by the alphabet? form, fort, fox.
words: rock, rod, road. how do they go by the alphabet? road, rock, rod.
words: stem, stone, star. how do they go by the alphabet? star, stem, stone.
words: law, lay, late. how do they go by the alphabet? late, law, lay.
words: arts, article, art. how do they go by the alphabet? art, article, arts.

слова: мох, море, мост. как они идут по азбуке? море, мост, мох.
слова: садовник, сад, сады. как они идут по азбуке? сад, садовник, сады.
слова: точка, река, свет. как они идут по азбуке? река, свет, точка.
слова: дерево, дело, день. как они идут по азбуке? дело, день, дерево.
слова: ёлка, вода, дом. как они идут по азбуке? вода, дом, ёлка.
слова: синий, сила, сито. как они идут по азбуке? сила, синий, сито.
слова: лесник, лес, леса. как они идут по азбуке? лес, леса, лесник.
слова: круг, гора, звук. как они идут по азбуке? гора, звук, круг.
слова: домик, дом, дома. как они идут по азбуке? дом, дома, домик.
слова: мост, камень, лес. как они идут по азбуке? камень, лес, мост.
слова: волк, вода, воля. как они идут по азбуке? вода, волк, воля.
слова: столик, стол, столы. как они идут по азбуке? стол, столик, столы.

words: fox, form, fort. how do they go by the alphabet? form, fort, fox.
words: forest, for, fore. how do they go by the alphabet? for, fore, forest.
words: word, light, road. how do they go by the alphabet? light, road, word.
words: lay, late, law. how do they go by the alphabet? late, law, lay.
words: fire, ash, bell. how do they go by the alphabet? ash, bell, fire.
words: rod, road, rock. how do they go by the alphabet? road, rock, rod.
words: topic, to, top. how do they go by the alphabet? to, top, topic.
words: law, circle, field. how do they go by the alphabet? circle, field, law.
words: article, art, arts. how do they go by the alphabet? art, article, arts.
words: stone, house, river. how do they go by the alphabet? house, river, stone.
words: stone, star, stem. how do they go by the alphabet? star, stem, stone.
words: songs, son, song. how do they go by the alphabet? son, song, songs.

слова: ёлка, дом, вода. как они идут по азбуке? вода, дом, ёлка.
слова: дерево, день, дело. как они идут по азбуке? дело, день, дерево.
слова: точка, свет, река. как они идут по азбуке? река, свет, точка.
слова: садовник, сады, сад. как они идут по азбуке? сад, садовник, сады.
слова: мох, мост, море. как они идут по азбуке? море, мост, мох.
слова: столик, столы, стол. как они идут по азбуке? стол, столик, столы.
слова: волк, воля, вода. как они идут по азбуке? вода, волк, воля.
слова: мост, лес, камень. как они идут по азбуке? камень, лес, мост.
слова: домик, дома, дом. как они идут по азбуке? дом, дома, домик.
слова: круг, звук, гора. как они идут по азбуке? гора, звук, круг.
слова: лесник, леса, лес. как они идут по азбуке? лес, леса, лесник.
слова: синий, сито, сила. как они идут по азбуке? сила, синий, сито.

words: fire, bell, ash. how do they go by the alphabet? ash, bell, fire.
words: lay, law, late. how do they go by the alphabet? late, law, lay.
words: word, road, light. how do they go by the alphabet? light, road, word.
words: forest, fore, for. how do they go by the alphabet? for, fore, forest.
words: fox, fort, form. how do they go by the alphabet? form, fort, fox.
words: songs, song, son. how do they go by the alphabet? son, song, songs.
words: stone, stem, star. how do they go by the alphabet? star, stem, stone.
words: stone, river, house. how do they go by the alphabet? house, river, stone.
words: article, arts, art. how do they go by the alphabet? art, article, arts.
words: law, field, circle. how do they go by the alphabet? circle, field, law.
words: topic, top, to. how do they go by the alphabet? to, top, topic.
words: rod, rock, road. how do they go by the alphabet? road, rock, rod.
