символ	письмо	регистр	имя_en	имя_ru	сетка
A	latin	capital	the capital Latin letter A	заглавная латинская буква A	_###_/#___#/#___#/#####/#___#/#___#/#___#
B	latin	capital	the capital Latin letter B	заглавная латинская буква B	####_/#___#/#___#/####_/#___#/#___#/####_
C	latin	capital	the capital Latin letter C	заглавная латинская буква C	_###_/#___#/#____/#____/#____/#___#/_###_
D	latin	capital	the capital Latin letter D	заглавная латинская буква D	###__/#__#_/#___#/#___#/#___#/#__#_/###__
E	latin	capital	the capital Latin letter E	заглавная латинская буква E	#####/#____/#____/####_/#____/#____/#####
F	latin	capital	the capital Latin letter F	заглавная латинская буква F	#####/#____/#____/####_/#____/#____/#____
G	latin	capital	the capital Latin letter G	заглавная латинская буква G	_###_/#___#/#____/#_###/#___#/#___#/_####
H	latin	capital	the capital Latin letter H	заглавная латинская буква H	#___#/#___#/#___#/#####/#___#/#___#/#___#
I	latin	capital	the capital Latin letter I	заглавная латинская буква I	_###_/__#__/__#__/__#__/__#__/__#__/_###_
J	latin	capital	the capital Latin letter J	заглавная латинская буква J	__###/___#_/___#_/___#_/___#_/#__#_/_##__
K	latin	capital	the capital Latin letter K	заглавная латинская буква K	#___#/#__#_/#_#__/##___/#_#__/#__#_/#___#
L	latin	capital	the capital Latin letter L	заглавная латинская буква L	#____/#____/#____/#____/#____/#____/#####
M	latin	capital	the capital Latin letter M	заглавная латинская буква M	#___#/##_##/#_#_#/#_#_#/#___#/#___#/#___#
N	latin	capital	the capital Latin letter N	заглавная латинская буква N	#___#/#___#/##__#/#_#_#/#__##/#___#/#___#
O	latin	capital	the capital Latin letter O	заглавная латинская буква O	_###_/#___#/#___#/#___#/#___#/#___#/_###_
P	latin	capital	the capital Latin letter P	заглавная латинская буква P	####_/#___#/#___#/####_/#____/#____/#____
Q	latin	capital	the capital Latin letter Q	заглавная латинская буква Q	_###_/#___#/#___#/#___#/#_#_#/#__#_/_##_#
R	latin	capital	the capital Latin letter R	заглавная латинская буква R	####_/#___#/#___#/####_/#_#__/#__#_/#___#
S	latin	capital	the capital Latin letter S	заглавная латинская буква S	_####/#____/#____/_###_/____#/____#/####_
T	latin	capital	the capital Latin letter T	заглавная латинская буква T	#####/__#__/__#__/__#__/__#__/__#__/__#__
U	latin	capital	the capital Latin letter U	заглавная латинская буква U	#___#/#___#/#___#/#___#/#___#/#___#/_###_
V	latin	capital	the capital Latin letter V	заглавная латинская буква V	#___#/#___#/#___#/#___#/#___#/_#_#_/__#__
W	latin	capital	the capital Latin letter W	заглавная латинская буква W	#___#/#___#/#___#/#_#_#/#_#_#/##_##/#___#
X	latin	capital	the capital Latin letter X	заглавная латинская буква X	#___#/#___#/_#_#_/__#__/_#_#_/#___#/#___#
Y	latin	capital	the capital Latin letter Y	заглавная латинская буква Y	#___#/#___#/#___#/_#_#_/__#__/__#__/__#__
Z	latin	capital	the capital Latin letter Z	заглавная латинская буква Z	#####/____#/___#_/__#__/_#___/#____/#####
a	latin	small	the small Latin letter a	строчная латинская буква a	_____/_____/_###_/____#/_####/#___#/_####
b	latin	small	the small Latin letter b	строчная латинская буква b	#____/#____/#_##_/##__#/#___#/#___#/####_
c	latin	small	the small Latin letter c	строчная латинская буква c	_____/_____/_###_/#____/#____/#___#/_###_
d	latin	small	the small Latin letter d	строчная латинская буква d	____#/____#/_##_#/#__##/#___#/#___#/_####
e	latin	small	the small Latin letter e	строчная латинская буква e	_____/_____/_###_/#___#/#####/#____/_###_
f	latin	small	the small Latin letter f	строчная латинская буква f	__##_/_#__#/_#___/###__/_#___/_#___/_#___
g	latin	small	the small Latin letter g	строчная латинская буква g	_____/_####/#___#/#___#/_####/____#/_###_
h	latin	small	the small Latin letter h	строчная латинская буква h	#____/#____/#_##_/##__#/#___#/#___#/#___#
i	latin	small	the small Latin letter i	строчная латинская буква i	__#__/_____/_##__/__#__/__#__/__#__/_###_
j	latin	small	the small Latin letter j	строчная латинская буква j	___#_/_____/__##_/___#_/___#_/#__#_/_##__
k	latin	small	the small Latin letter k	строчная латинская буква k	#____/#____/#__#_/#_#__/##___/#_#__/#__#_
l	latin	small	the small Latin letter l	строчная латинская буква l	_##__/__#__/__#__/__#__/__#__/__#__/_###_
m	latin	small	the small Latin letter m	строчная латинская буква m	_____/_____/##_#_/#_#_#/#_#_#/#___#/#___#
n	latin	small	the small Latin letter n	строчная латинская буква n	_____/_____/#_##_/##__#/#___#/#___#/#___#
o	latin	small	the small Latin letter o	строчная латинская буква o	_____/_____/_###_/#___#/#___#/#___#/_###_
p	latin	small	the small Latin letter p	строчная латинская буква p	_____/_____/####_/#___#/####_/#____/#____
q	latin	small	the small Latin letter q	строчная латинская буква q	_____/_____/_####/#___#/_####/____#/____#
r	latin	small	the small Latin letter r	строчная латинская буква r	_____/_____/#_##_/##__#/#____/#____/#____
s	latin	small	the small Latin letter s	строчная латинская буква s	_____/_____/_####/#____/_###_/____#/####_
t	latin	small	the small Latin letter t	строчная латинская буква t	_#___/_#___/###__/_#___/_#___/_#__#/__##_
u	latin	small	the small Latin letter u	строчная латинская буква u	_____/_____/#___#/#___#/#___#/#__##/_##_#
v	latin	small	the small Latin letter v	строчная латинская буква v	_____/_____/#___#/#___#/#___#/_#_#_/__#__
w	latin	small	the small Latin letter w	строчная латинская буква w	_____/_____/#___#/#___#/#_#_#/#_#_#/_#_#_
x	latin	small	the small Latin letter x	строчная латинская буква x	_____/_____/#___#/_#_#_/__#__/_#_#_/#___#
y	latin	small	the small Latin letter y	строчная латинская буква y	_____/_____/#___#/#___#/_####/____#/_###_
z	latin	small	the small Latin letter z	строчная латинская буква z	_____/_____/#####/___#_/__#__/_#___/#####
А	cyrillic	capital	the capital Cyrillic letter А	заглавная русская буква А	_###_/#___#/#___#/#####/#___#/#___#/#___#
Б	cyrillic	capital	the capital Cyrillic letter Б	заглавная русская буква Б	#####/#____/#____/####_/#___#/#___#/####_
В	cyrillic	capital	the capital Cyrillic letter В	заглавная русская буква В	####_/#___#/#___#/####_/#___#/#___#/####_
Г	cyrillic	capital	the capital Cyrillic letter Г	заглавная русская буква Г	#####/#____/#____/#____/#____/#____/#____
Д	cyrillic	capital	the capital Cyrillic letter Д	заглавная русская буква Д	__##_/_#_#_/_#_#_/_#_#_/_#_#_/#####/#___#
Е	cyrillic	capital	the capital Cyrillic letter Е	заглавная русская буква Е	#####/#____/#____/####_/#____/#____/#####
Ё	cyrillic	capital	the capital Cyrillic letter Ё	заглавная русская буква Ё	_#_#_/_____/#####/#____/####_/#____/#####
Ж	cyrillic	capital	the capital Cyrillic letter Ж	заглавная русская буква Ж	#_#_#/#_#_#/_###_/__#__/_###_/#_#_#/#_#_#
З	cyrillic	capital	the capital Cyrillic letter З	заглавная русская буква З	_###_/#___#/____#/__##_/____#/#___#/_###_
И	cyrillic	capital	the capital Cyrillic letter И	заглавная русская буква И	#___#/#___#/#__##/#_#_#/##__#/#___#/#___#
Й	cyrillic	capital	the capital Cyrillic letter Й	заглавная русская буква Й	_#_#_/__#__/#___#/#__##/#_#_#/##__#/#___#
К	cyrillic	capital	the capital Cyrillic letter К	заглавная русская буква К	#___#/#__#_/#_#__/##___/#_#__/#__#_/#___#
Л	cyrillic	capital	the capital Cyrillic letter Л	заглавная русская буква Л	__###/_#__#/_#__#/_#__#/_#__#/_#__#/#___#
М	cyrillic	capital	the capital Cyrillic letter М	заглавная русская буква М	#___#/##_##/#_#_#/#_#_#/#___#/#___#/#___#
Н	cyrillic	capital	the capital Cyrillic letter Н	заглавная русская буква Н	#___#/#___#/#___#/#####/#___#/#___#/#___#
О	cyrillic	capital	the capital Cyrillic letter О	заглавная русская буква О	_###_/#___#/#___#/#___#/#___#/#___#/_###_
П	cyrillic	capital	the capital Cyrillic letter П	заглавная русская буква П	#####/#___#/#___#/#___#/#___#/#___#/#___#
Р	cyrillic	capital	the capital Cyrillic letter Р	заглавная русская буква Р	####_/#___#/#___#/####_/#____/#____/#____
С	cyrillic	capital	the capital Cyrillic letter С	заглавная русская буква С	_###_/#___#/#____/#____/#____/#___#/_###_
Т	cyrillic	capital	the capital Cyrillic letter Т	заглавная русская буква Т	#####/__#__/__#__/__#__/__#__/__#__/__#__
У	cyrillic	capital	the capital Cyrillic letter У	заглавная русская буква У	#___#/#___#/#___#/_####/____#/#___#/_###_
Ф	cyrillic	capital	the capital Cyrillic letter Ф	заглавная русская буква Ф	__#__/_###_/#_#_#/#_#_#/_###_/__#__/__#__
Х	cyrillic	capital	the capital Cyrillic letter Х	заглавная русская буква Х	#___#/#___#/_#_#_/__#__/_#_#_/#___#/#___#
Ц	cyrillic	capital	the capital Cyrillic letter Ц	заглавная русская буква Ц	#__#_/#__#_/#__#_/#__#_/#__#_/#####/____#
Ч	cyrillic	capital	the capital Cyrillic letter Ч	заглавная русская буква Ч	#___#/#___#/#___#/_####/____#/____#/____#
Ш	cyrillic	capital	the capital Cyrillic letter Ш	заглавная русская буква Ш	#_#_#/#_#_#/#_#_#/#_#_#/#_#_#/#_#_#/#####
Щ	cyrillic	capital	the capital Cyrillic letter Щ	заглавная русская буква Щ	#_#_#/#_#_#/#_#_#/#_#_#/#_#_#/#####/____#
Ъ	cyrillic	capital	the capital Cyrillic letter Ъ	заглавная русская буква Ъ	##___/_#___/_#___/_###_/_#__#/_#__#/_###_
Ы	cyrillic	capital	the capital Cyrillic letter Ы	заглавная русская буква Ы	#___#/#___#/#___#/##__#/#_#_#/#_#_#/##__#
Ь	cyrillic	capital	the capital Cyrillic letter Ь	заглавная русская буква Ь	#____/#____/#____/####_/#___#/#___#/####_
Э	cyrillic	capital	the capital Cyrillic letter Э	заглавная русская буква Э	_###_/#___#/____#/__###/____#/#___#/_###_
Ю	cyrillic	capital	the capital Cyrillic letter Ю	заглавная русская буква Ю	#_##_/#_#_#/#_#_#/###_#/#_#_#/#_#_#/#_##_
Я	cyrillic	capital	the capital Cyrillic letter Я	заглавная русская буква Я	_####/#___#/#___#/_####/__#_#/_#__#/#___#
а	cyrillic	small	the small Cyrillic letter а	строчная русская буква а	_____/_____/_###_/____#/_####/#___#/_####
б	cyrillic	small	the small Cyrillic letter б	строчная русская буква б	__###/_#___/_#___/####_/#___#/#___#/_###_
в	cyrillic	small	the small Cyrillic letter в	строчная русская буква в	_____/_____/####_/#___#/####_/#___#/####_
г	cyrillic	small	the small Cyrillic letter г	строчная русская буква г	_____/_____/#####/#____/#____/#____/#____
д	cyrillic	small	the small Cyrillic letter д	строчная русская буква д	_____/_____/__##_/_#_#_/_#_#_/#####/#___#
