# суд	читает	поймал порч	поймал ОДИН	порч 2160	пойманных 2105	строк 795
abs	3	9	4
action_measure	4	12	4
action_pages	5	11	5
actturn	4	12	6
addshare	4	9	5
adhominem	4	12	6
age	4	12	4
algo	3	9	1
amend	4	12	4
analog	1	3	1
anaphora	4	12	5
angle	3	9	4
arith	516	50	2
article	13	0	0
average	1	3	1
beforetails	4	12	7
both	2	6	2
bound	4	12	4
calendar	4	12	4
calendar_langs	2	6	3
ceilfloor	4	12	3
chains_langs	4	4	3
chance	2	6	3
chancetrap	4	12	5
clockforms	4	12	6
closure	2	6	2
cmpframes	2	6	2
cmpshare	3	9	3
compare_langs	4	12	3
compare_mult	5	10	6
compsci	4	3	3
cond	3	9	4
condprob	4	12	7
corpusword	0	1174	30
countlaw	4	11	0
cross	10	18	4
cyber	2	4	2
dateforms	4	12	6
digitlen	4	12	5
dilemma	1	3	2
dim	2	6	2
discountroad	4	12	4
dist	1	3	1
divrule	4	12	5
divsense	4	12	4
divshare	4	12	6
dosupport	2	4	1
drop	3	6	0
engram	159	17	0
enough	4	12	8
episode	41	90	49
episodeforms	4	9	2
equation	2	6	2
estim	3	9	3
factor	4	12	4
fence	4	12	6
fipart	1	1	0
formula_lang	2	4	1
geometry	1	3	1
glyph	2	3	1
grid	1	2	0
gsmforms	4	10	4
halves	2	2	2
handover	1	2	0
handy	4	12	5
hay	1	3	0
holdforms	4	11	4
holes	1	3	1
homo	1	3	1
houseshows	24	68	30
idredup	1	2	0
indu	19	4	1
inquiry	2	2	2
inquiry_de_fr	3	8	4
inquiry_es_it	4	12	5
inquiry_pt_nl	1	3	2
inverse	4	12	4
jaclass	1	2	0
joint2	4	12	3
joints	5	13	2
kinbearer	4	11	6
langcount	335	50	0
langform	72	34	0
langgen	115	162	38
langmath	25	0	0
leap	3	9	5
lever	4	12	4
likely	4	12	6
linalg	3	9	5
links	4	12	5
logic	4	0	0
longdiv	4	3	1
mandateforms	4	8	0
mapscale	4	12	4
measure	1	3	1
measure_langs	4	12	6
measure_story	4	12	5
measuregrow	1	3	1
measureprec	1	3	1
median	1	3	2
metalang	3	9	3
mixedunits	3	9	6
money	4	12	3
money_langs	3	9	4
money_story	3	9	4
mulshare	4	12	6
nature	3	9	3
need	4	11	5
neg	2	6	4
negquant	4	12	5
nestcalc	4	8	4
nesuf	4	12	4
noanswer	3	7	3
nomention	4	6	3
notenough	1	3	1
numberline	4	9	4
numlabel	1	3	1
numline	1	3	2
numphrase	2	6	3
object	2	6	4
opchoice	4	8	2
opforms	2	6	2
opslaw	1	3	1
orderlaw	1	3	2
overlap	2	6	4
parity	4	12	3
pctbase	1	3	2
pctchange	4	12	4
pctdiff	4	12	4
personforms	4	12	4
physics	4	12	4
physics_langs	4	12	5
physlaw	4	12	4
placeval	4	12	5
planforms	3	9	4
plaus	4	12	4
plcopula	2	6	2
point	4	12	5
pow	4	12	2
prec	4	12	1
price	4	12	5
primes_langs	4	11	8
primewalk	1	2	2
proform	4	11	4
program	3	3	1
pronobject	4	11	4
pronoun	4	11	4
proof	2	2	2
prop	4	12	6
propmeasure	4	12	6
quantforms	3	9	4
rates	4	11	3
ratetrap	1	3	0
readnum	3	9	5
reduce	3	9	4
relations_story	4	12	4
rem	4	12	7
remainders_langs	4	12	4
reply	2	3	1
roman	4	12	6
roundforms	4	12	5
rowframe	30	4	4
ru_compare	1	1	1
ru_conversion	4	12	2
ru_story	4	8	4
rugram	123	43	3
ruverbs	1	1	0
sameshare	3	9	5
sceneforms	4	9	1
script	20	766	0
search_langs	2	6	2
selfmodelforms	4	12	6
sequence	2	6	0
sequences_langs	4	12	5
share	8	9	5
share_langs	4	12	7
shares_percent	5	11	5
signadd	4	12	4
signedworld	2	6	3
signrul	4	9	3
speech	3	5	4
speedforms	4	12	5
squnit	2	5	4
statistics	1	3	1
stats_langs	4	12	6
story_chain	4	11	7
summaryforms	4	11	3
svamp	4	11	6
task	15	23	4
tempscale	4	12	6
timeunits	4	12	5
toolforms	4	11	3
trharm	1	1	1
two_kinds	4	11	5
tzone	2	6	2
ukcount	1	2	0
unit	3	5	1
unit_counts	3	9	4
unitcmp	4	12	3
unitfrac	4	12	5
units_langs	4	12	5
verifyforms	4	12	5
wallet	4	12	5
wholeshare	4	12	4
wmean	1	3	1
wordnum	4	12	1
zerodiv	1	3	0
zhclass	2	2	1
