мир	отвеченных	леджер	вычислено	прочтено	без опоры	слово	доля леджера
school_biling_v2c	14509	5154	0	210	0	9145	1.00
compare_mult	6492	4042	1400	0	0	1050	0.74
action_pages	4231	4181	50	0	0	0	0.99
inquiry	3030	2960	0	0	25	45	1.00
holes	3000	0	0	1200	0	1800	0.00
notationvar	2683	2623	60	0	0	0	0.98
sequences	2360	2320	0	0	10	30	1.00
linalg	2220	2200	0	0	0	20	1.00
numbers	2160	2100	0	0	30	30	1.00
geometry	2150	2120	0	0	0	30	1.00
relations_story	2115	2115	0	0	0	0	1.00
inquiry_de_fr	2100	2040	0	0	30	30	1.00
inquiry_pt_nl	2100	2040	0	0	30	30	1.00
inquiry_pl_tr	1594	1534	0	0	30	30	1.00
inquiry_es_it	1534	1474	0	0	30	30	1.00
genus_diff	1485	0	0	0	0	1485	0.00
story	1440	0	0	0	1440	0	0.00
compare	1440	0	1440	0	0	0	0.00
markdown	1330	130	0	110	180	910	1.00
items	1253	1253	0	0	0	0	1.00
measure_story	1200	1200	0	0	0	0	1.00
space	1140	110	148	607	150	125	0.43
surfaces	1100	960	0	0	0	140	1.00
everyday	1056	74	370	0	0	612	0.17
machine	1051	953	0	98	0	0	1.00
shares_percent	1005	1005	0	0	0	0	1.00
gsmforms	957	919	38	0	0	0	0.96
arith_langs	920	920	0	0	0	0	1.00
gsmwide	900	0	900	0	0	0	0.00
equation_signed	850	800	0	0	5	45	1.00
money_story	795	736	19	40	0	0	0.97
definitions	745	0	0	0	570	175	0.00
statistics	740	720	0	0	0	20	1.00
speech	720	480	240	0	0	0	0.67
algorithms	700	700	0	0	0	0	1.00
calendar	660	280	0	0	0	380	1.00
formula_lang	660	572	0	0	0	88	1.00
heads	640	0	640	0	0	0	0.00
search_langs	600	600	0	0	0	0	1.00
proof	600	600	0	0	0	0	1.00
cybernetics	590	550	0	0	10	30	1.00
glyphs	562	33	253	0	38	238	0.12
school_ruler_dense	551	151	0	0	0	400	1.00
algebra	550	550	0	0	0	0	1.00
physlaws	540	500	0	0	0	40	1.00
formulas	520	520	0	0	0	0	1.00
compsci	510	420	0	50	10	30	1.00
age	498	328	0	0	110	60	1.00
lang_sw	495	0	0	0	0	495	0.00
geometry_langs	480	480	0	0	0	0	1.00
equation	470	420	0	0	5	45	1.00
metalang	460	460	0	0	0	0	1.00
physics	450	450	0	0	0	0	1.00
aggregate	430	0	430	0	0	0	0.00
lang_tr	410	0	0	0	0	410	0.00
gsmlex	400	0	400	0	0	0	0.00
lang_hi	395	0	0	0	0	395	0.00
lang_es	390	0	0	0	0	390	0.00
lang_pt	370	0	0	0	0	370	0.00
two_kinds	360	360	0	0	0	0	1.00
unit_counts	360	0	0	360	0	0	0.00
lang_it	340	0	0	0	0	340	0.00
share	332	332	0	0	0	0	1.00
lang_de	330	0	0	0	0	330	0.00
lang_fr	330	0	0	0	0	330	0.00
bignum	320	320	0	0	0	0	1.00
units_langs	320	320	0	0	0	0	1.00
lang_pl	320	0	0	0	0	320	0.00
lang_uk	320	0	0	0	0	320	0.00
verbs	310	0	310	0	0	0	0.00
depletion	300	0	300	0	0	0	0.00
lang_nl	300	0	0	0	0	300	0.00
pronouns	291	256	35	0	0	0	0.88
lang_sv	290	0	0	0	0	290	0.00
mathspaces	284	184	0	0	10	90	1.00
calendar_langs	280	280	0	0	0	0	1.00
share_langs	280	280	0	0	0	0	1.00
programs	280	280	0	0	0	0	1.00
doctree	270	0	0	0	0	270	0.00
lang_en	262	0	0	0	0	262	0.00
units	240	210	0	30	0	0	1.00
stats_langs	240	240	0	0	0	0	1.00
compare_langs	240	240	0	0	0	0	1.00
physics_langs	240	240	0	0	0	0	1.00
realverbs	240	0	240	0	0	0	0.00
longdiv	240	240	0	0	0	0	1.00
lang_ru	231	0	0	0	0	231	0.00
valence	220	220	0	0	0	0	1.00
md_latex	210	210	0	0	0	0	1.00
md_structures	200	0	0	200	0	0	0.00
money	200	200	0	0	0	0	1.00
primes_langs	200	200	0	0	0	0	1.00
rates	200	145	30	0	25	0	0.83
money_langs	180	180	0	0	0	0	1.00
story_chain	178	178	0	0	0	0	1.00
ruverbs	170	0	50	50	0	70	0.00
average	166	166	0	0	0	0	1.00
l4	160	0	0	0	0	160	0.00
sequences_langs	160	160	0	0	0	0	1.00
remainders_langs	160	160	0	0	0	0	1.00
remainders	160	160	0	0	0	0	1.00
notation	154	40	104	10	0	0	0.28
relation	152	86	0	0	56	10	1.00
lang_am	145	0	0	0	0	145	0.00
dataformat	130	76	0	0	0	54	1.00
lang_th	125	0	0	0	0	125	0.00
lang_ta	125	0	0	0	0	125	0.00
ru_compare	125	125	0	0	0	0	1.00
ru_story	105	40	40	0	0	25	0.50
verbal	100	0	50	50	0	0	0.00
ru_conversions	95	80	0	0	0	15	1.00
mathfound	86	0	0	0	0	86	0.00
percent	80	80	0	0	0	0	1.00
selfmeasure	80	60	20	0	0	0	0.75
l1_logic_sets	76	0	0	0	0	76	0.00
l3_eng_proof	34	24	0	0	0	10	1.00
l3_prog	16	16	0	0	0	0	1.00
