# ПРЕДИКАТЫ ВОПРОСА О СВОЙСТВЕ, СОБРАННЫЕ ПО ВСЕМУ СВОДУ (06.09)
# Слово в три буквы, НЕ объявленное зачином, служебным словом или
# числительным, стоящее в ПОЛЯРНОМ вопросе своего мира; куплено ≥ LAW = 2.
мир	предикат	вопросов
actturn	txt	72
actturn	файл	68
actturn	plik	68
actturn	пользователь	34
actturn	организм	34
actturn	предлагаю	34
actturn	подтверждено	34
actturn	użytkownik	34
actturn	organizm	34
actturn	proponuję	34
actturn	potwierdzone	34
actturn	list	32
actturn	csv	32
actturn	notes	32
actturn	создай	10
actturn	создать	10
actturn	utwórz	10
actturn	utworzyć	10
actturn	удали	8
actturn	удалить	8
actturn	допиши	8
actturn	дописать	8
actturn	прочитай	8
actturn	прочитать	8
actturn	usuń	8
actturn	usunąć	8
actturn	dopisz	8
actturn	dopisać	8
actturn	przeczytaj	8
actturn	przeczytać	8
analog	się	8
compare_mult	times	186
compare_mult	верно	186
compare_mult	больше	186
compsci	алфавита	32
compsci	целое	32
compsci	sign	32
compsci	alphabet	32
compsci	signs	32
compsci	cost	32
compsci	whole	32
compsci	number	32
compsci	bits	32
cross	się	62
cross	равно	56
cross	согласен	34
cross	agree	34
cross	accordo	28
cross	zgadza	28
cross	pan	28
cross	plus	21
cross	minus	21
cross	плюс	14
cross	разделить	14
cross	умножить	14
cross	минус	14
cross	podzielone	14
cross	razy	14
cross	divided	7
cross	times	7
cross	diviso	7
cross	più	7
cross	meno	7
cybernetics	target	100
cybernetics	попадает	50
cybernetics	контур	50
cybernetics	целью	50
cybernetics	начав	50
cybernetics	при	50
cybernetics	шаге	50
cybernetics	точно	50
cybernetics	цель	50
cybernetics	loop	50
cybernetics	starting	50
cybernetics	step	50
cybernetics	land	50
cybernetics	exactly	50
dialogue	zdolny	6
dialogue	know	4
dialogue	jesteś	4
dialogue	pan	3
dialogue	wiesz	3
dialogue	today	2
dialogue	dziś	2
enough	złotych	30
enough	меня	24
enough	хватит	24
enough	kosztuje	24
enough	mam	24
enough	wystarczy	24
enough	złote	18
enough	одна	8
enough	одно	8
enough	ołówek	8
enough	jedna	8
enough	jedno	8
enough	ołówki	5
enough	ołówków	3
equation	root	96
equation	корнем	96
equation	equation	40
equation	уравнения	40
equation_signed	root	226
equation_signed	корнем	226
equation_signed	equation	95
equation_signed	уравнения	95
formulas	целое	40
formulas	площадь	40
formulas	треугольника	40
formulas	основанием	40
formulas	высотой	40
formulas	area	40
formulas	triangle	40
formulas	base	40
formulas	height	40
formulas	whole	40
formulas	number	40
genus_diff	organ	52
genus_diff	plant	36
genus_diff	animal	36
genus_diff	pflanze	36
genus_diff	tier	36
genus_diff	vessel	32
genus_diff	gefäß	32
genus_diff	tool	30
genus_diff	number	30
genus_diff	vehicle	30
genus_diff	werkzeug	30
genus_diff	fahrzeug	30
genus_diff	piece	28
genus_diff	furniture	28
genus_diff	möbelstück	28
genus_diff	building	26
genus_diff	garment	26
genus_diff	gebäude	26
genus_diff	kleidung	26
genus_diff	device	24
genus_diff	gerät	24
genus_diff	zahl	24
genus_diff	substance	18
genus_diff	stoff	18
genus_diff	metal	16
genus_diff	metall	16
genus_diff	word	14
genus_diff	force	14
genus_diff	organism	14
genus_diff	figure	14
genus_diff	wort	14
genus_diff	kraft	14
genus_diff	organismus	14
genus_diff	figur	14
genus_diff	rose	12
genus_diff	verb	12
genus_diff	hammer	12
genus_diff	knife	6
genus_diff	lamp	6
genus_diff	even	6
genus_diff	spoon	6
genus_diff	boat	6
genus_diff	lung	6
genus_diff	fish	6
genus_diff	chair	6
genus_diff	school	6
genus_diff	pure	6
genus_diff	iron	6
genus_diff	bee	6
genus_diff	alarm	6
genus_diff	clock	6
genus_diff	coat	6
genus_diff	prime	6
genus_diff	oak	6
genus_diff	car	6
genus_diff	human	6
genus_diff	heart	6
genus_diff	gravity	6
genus_diff	bird	6
genus_diff	bottle	6
genus_diff	bicycle	6
genus_diff	liquid	6
genus_diff	water	6
genus_diff	green	6
genus_diff	horse	6
genus_diff	table	6
genus_diff	bakery	6
genus_diff	right	6
genus_diff	triangle	6
genus_diff	messer	6
genus_diff	lampe	6
genus_diff	mütze	6
genus_diff	gerade	6
genus_diff	löffel	6
genus_diff	boot	6
genus_diff	lunge	6
genus_diff	fisch	6
genus_diff	stuhl	6
genus_diff	schule	6
genus_diff	reines	6
genus_diff	eisen	6
genus_diff	biene	6
genus_diff	wecker	6
genus_diff	mantel	6
genus_diff	primzahl	6
genus_diff	eiche	6
genus_diff	auto	6
genus_diff	menschliche	6
genus_diff	herz	6
genus_diff	schwerkraft	6
genus_diff	vogel	6
genus_diff	flasche	6
genus_diff	fahrrad	6
genus_diff	flüssiges	6
genus_diff	wasser	6
genus_diff	grüne	6
genus_diff	pferd	6
genus_diff	tisch	6
genus_diff	bäckerei	6
genus_diff	rechtwinkliges	6
genus_diff	dreieck	6
geometry	целое	80
geometry	гипотенуза	80
geometry	прямоугольного	80
geometry	треугольника	80
geometry	катетами	80
geometry	hypotenuse	80
geometry	right	80
geometry	triangle	80
geometry	legs	80
geometry	whole	80
geometry	number	80
indu	liczbą	18
indu	pierwszą	18
indu	значит	7
indu	wynika	7
indu	tego	7
indu	просто	4
indu	pierwszych	4
indu	первых	4
indu	при	3
indu	всяком	3
indu	suma	3
indu	liczb	3
indu	сумма	3
indu	равна	3
indu	każdego	2
infer	dzieli	72
infer	się	72
infer	значит	36
infer	wynika	36
infer	tego	36
inquiry	number	453
inquiry	true	328
inquiry	верно	328
inquiry	чётно	232
inquiry	even	230
inquiry	divisible	220
inquiry	prime	162
inquiry	square	160
inquiry	простым	154
inquiry	числом	154
inquiry	квадрат	100
inquiry	exactly	99
inquiry	целое	94
inquiry	sum	82
inquiry	сумма	82
inquiry	odd	72
inquiry	multiple	70
inquiry	кратно	70
inquiry	числу	70
inquiry	divisors	63
inquiry	равно	60
inquiry	equals	60
inquiry	полным	60
inquiry	квадратом	60
inquiry	perfect	60
inquiry	равен	60
inquiry	numbers	50
