мир	строк	различных	повторов	доля повторов	родов	мало с повторами	мало без повторов
school_biling_v2c	38226	6622	31604	0.83	181	33	120
compare_mult	12299	1740	10559	0.86	357	152	313
lang_de	6445	613	5832	0.90	282	82	270
lang_sw	5820	389	5431	0.93	168	12	163
lang_zh	5470	398	5072	0.93	167	14	162
md_latex	5540	1533	4007	0.72	630	527	615
lang_es	4405	437	3968	0.90	171	24	165
lang_id	4135	481	3654	0.88	291	10	286
lang_hi	4010	509	3501	0.87	319	10	314
lang_ru	3631	558	3073	0.85	140	18	127
lang_ka	3055	397	2658	0.87	206	21	201
lang_vi	2935	433	2502	0.85	242	33	237
lang_en	2916	450	2466	0.85	66	12	57
lang_ja	2890	437	2453	0.85	220	47	214
lang_fi	2900	489	2411	0.83	238	81	228
speech	3800	1390	2410	0.63	68	4	30
lang_tr	2845	456	2389	0.84	228	28	222
lang_el	2680	409	2271	0.85	218	42	213
lang_pt	2695	432	2263	0.84	203	49	196
lang_fa	2645	407	2238	0.85	216	27	211
relation	3622	1418	2204	0.61	956	922	948
inquiry	5210	3026	2184	0.42	296	94	180
md_structures	2640	460	2180	0.83	363	304	358
sequences	4240	2064	2176	0.51	56	16	24
lang_he	2525	395	2130	0.84	204	27	199
lang_it	2545	416	2129	0.84	181	34	175
lang_fr	2495	412	2083	0.83	176	47	169
lang_ar	2365	379	1986	0.84	187	37	182
lang_pl	2335	405	1930	0.83	162	46	155
lang_uk	2335	405	1930	0.83	176	49	170
lang_hu	2240	369	1871	0.84	187	83	182
lang_nl	2235	395	1840	0.82	166	43	159
lang_sv	2185	390	1795	0.82	162	34	156
mathfound	2306	520	1786	0.77	268	249	257
lang_ko	2140	374	1766	0.83	320	209	318
geometry	3300	1598	1702	0.52	53	12	19
lang_th	2085	442	1643	0.79	252	155	247
definitions	2926	1328	1598	0.55	1328	1328	1328
inquiry_de_fr	3120	1566	1554	0.50	176	52	116
inquiry_pt_nl	3120	1566	1554	0.50	176	52	116
lang_am	1930	384	1546	0.80	168	88	162
everyday	5433	3922	1511	0.28	1248	1161	1178
calendar	1800	360	1440	0.80	340	338	338
lang_ta	1830	418	1412	0.77	202	134	196
markdown	3845	2562	1283	0.33	2053	2036	2048
algorithms	2500	1298	1202	0.48	142	30	124
story	3600	2405	1195	0.33	19	0	1
inquiry_pl_tr	2292	1104	1188	0.52	182	94	133
inquiry_es_it	2232	1072	1160	0.52	174	86	128
physlaws	1570	520	1050	0.67	52	31	34
doctree	1290	258	1032	0.80	258	258	258
space	2664	1761	903	0.34	86	30	31
school_ruler_dense	1251	378	873	0.70	26	0	3
machine	2251	1382	869	0.39	85	39	52
proof	1160	297	863	0.74	45	2	39
items	2978	2150	828	0.28	34	11	13
linalg	3800	3122	678	0.18	46	8	8
statistics	1360	711	649	0.48	58	17	18
share	1320	712	608	0.46	96	59	79
notation	752	199	553	0.74	23	0	17
compsci	1620	1086	534	0.33	96	54	60
formulas	1400	905	495	0.35	77	48	48
algebra	1892	1411	481	0.25	274	247	250
dataformat	1040	592	448	0.43	560	512	560
l4	500	100	400	0.80	99	98	99
cybernetics	1430	1055	375	0.26	60	20	29
physics	1600	1226	374	0.23	48	20	21
mathspaces	1036	683	353	0.34	199	172	180
remainders	500	164	336	0.67	10	4	4
relations_story	2115	1791	324	0.15	70	0	2
programs	880	565	315	0.36	54	32	34
gsmforms	2560	2260	300	0.12	358	218	232
measure_story	1200	912	288	0.24	11	0	0
age	1112	826	286	0.26	60	30	38
surfaces	2200	1944	256	0.12	48	4	4
chains_langs	3141	2889	252	0.08	687	621	637
l1_logic_sets	448	214	234	0.52	214	214	214
equation	1438	1210	228	0.16	150	88	88
equation_signed	2046	1818	228	0.11	304	236	236
longdiv	824	624	200	0.24	17	1	1
conversions	320	128	192	0.60	16	10	14
l3_eng_proof	311	119	192	0.62	33	19	29
fractions	278	94	184	0.66	8	0	5
metalang	1934	1754	180	0.09	574	538	540
valence	1350	1176	174	0.13	40	8	12
heads	640	472	168	0.26	16	0	10
geometry_langs	960	816	144	0.15	64	0	0
glyphs	1125	984	141	0.13	535	519	519
rates	760	624	136	0.18	58	31	35
share_langs	560	432	128	0.23	32	0	0
numbers	4310	4190	120	0.03	138	66	66
percent	640	520	120	0.19	21	4	7
l2_algebra_units	261	146	115	0.44	18	11	13
selfmeasure	140	31	109	0.78	31	31	31
formula_lang	2590	2488	102	0.04	2061	2048	2048
depletion	400	301	99	0.25	74	72	74
stats_langs	480	384	96	0.20	80	64	64
money_langs	1260	1179	81	0.06	30	0	0
verbal	560	479	81	0.14	56	46	46
l3_prog	224	144	80	0.36	17	8	11
ru_compare	225	146	79	0.35	5	0	0
gsmwide	900	840	60	0.07	24	0	0
units	1260	1204	56	0.04	27	10	12
bignum	940	888	52	0.06	28	2	2
ru_story	145	97	48	0.33	16	7	15
ruverbs	355	310	45	0.13	115	106	112
realverbs	240	196	44	0.18	8	0	0
arith_langs	1400	1360	40	0.03	136	0	0
ru_conversions	95	59	36	0.38	14	9	14
shares_percent	1320	1287	33	0.03	39	10	10
action_pages	4921	4897	24	0.00	252	57	57
stenogram	550	526	24	0.04	21	2	2
compare	1440	1424	16	0.01	78	17	17
money	450	450	0	0.00	32	2	2
money_story	795	795	0	0.00	157	130	130
two_kinds	360	360	0	0.00	18	0	0
genus_diff	1485	1485	0	0.00	31	9	9
unit_counts	720	720	0	0.00	24	0	0
joints	2700	2700	0	0.00	69	0	0
dialogue	952	952	0	0.00	918	918	918
links	8689	8689	0	0.00	141	12	12
behavior	837	837	0	0.00	459	459	459
topics	1072	1072	0	0.00	1017	1017	1017
nature	832	832	0	0.00	729	729	729
opposites	324	324	0	0.00	322	322	322
roles	135	135	0	0.00	135	135	135
scale	441	441	0	0.00	426	426	426
units_langs	640	640	0	0.00	20	4	4
calendar_langs	560	560	0	0.00	32	0	0
sequences_langs	320	320	0	0.00	16	0	0
search_langs	1280	1280	0	0.00	629	599	599
remainders_langs	320	320	0	0.00	16	0	0
primes_langs	400	400	0	0.00	32	15	15
compare_langs	480	480	0	0.00	56	28	28
physics_langs	480	480	0	0.00	32	0	0
holes	6100	6100	0	0.00	722	331	331
aggregate	430	430	0	0.00	26	6	6
verbs	620	620	0	0.00	147	143	143
gsmlex	400	400	0	0.00	8	0	0
average	1300	1300	0	0.00	64	2	2
story_chain	890	890	0	0.00	60	24	24
notationvar	5386	5386	0	0.00	82	26	26
pronouns	480	480	0	0.00	270	268	268
