# рамки РУССКИХ строк свода после правки переписи (заполнители домов + падеж имени)
# мир	масса	рамка
action_pages	47	※ было # ※. # ※ убрали. сколько ※ теперь? # − # = #. значит ответ: #.
action_pages	35	※ # ※: ※, ※ и ※ — #, #, #.
action_pages	35	※ ※, ※ и ※ — # ※.
action_pages	35	у @ # ※, # ※ и # ※ — всего # ※: # + # = #, # + # = #.
action_pages	35	у @ # ※, # ※ и # ※. сколько всего ※ у @? # ※: # + # = #, # + # = #.
action_pages	25	у @ # ※. у @ ※ ※ ※, чем у @. сколько ※ у @? # × # = #. значит ответ: #.
action_pages	25	※ # ※. # из них ※. сколько из них ※? # из них ※. значит ответ: #.
action_pages	25	※ # ※. # из них ※, # ※, а остальные ※. сколько ※? # − # = #, # − # = #. значит ответ: #.
action_pages	25	※ было # ※. # из них были ※, # были ※, а остальные были ※. сколько было ※? # − # = #, # − # = #. значит ответ: #.
action_pages	25	※ # ※. # ※ ※. сколько ※ не ※? # − # = #. значит ответ: #.
action_pages	25	※ ※, ※ и ※. сколько ※ ※? # ※: #, #, #.
action_pages	25	※ было # ※ и # ※. теперь ※ # ※ и # ※. на сколько ※ теперь ※, чем ※? # − # = #. значит ответ: #.
action_pages	25	у @ # ※. у @ # ※. сколько ※ у них вместе? # + # = #. значит ответ: #.
action_pages	25	※ # ※. # из них ※. сколько из них не ※? # − # = #. значит ответ: #.
action_pages	25	※ было # ※. # из них были ※. сколько из них не были ※? # − # = #. значит ответ: #.
action_pages	25	※ было # ※. # ※ были ※. сколько ※ не были ※? # − # = #. значит ответ: #.
action_pages	25	※ было # ※ и # ※. теперь ※ # ※ и # ※. сколько ※ добавили? # − # = #. значит ответ: #.
action_pages	25	у @ # ※. у @ # ※. вместе у них # ※: # + # = #. значит ответ: #.
action_pages	22	у @ было # ※. @ ※ # ※. сколько ※ осталось у @? # − # = #. значит ответ: #.
action_pages	20	@ ※ # ※ каждый ※. сколько ※ нужно ※# ※? # ÷ # = #. значит ответ: #.
action_pages	20	※ стоит # ※. сколько ※ стоят # ※? # × # = #. значит ответ: #.
action_pages	20	@ ※ # ※ каждый ※. сколько ※ за # ※? # × # = #. значит ответ: #.
action_pages	20	※ было # ※ и # ※. добавили ещё # ※. сколько ※ и ※ стало ※? # + # = #, # + # = #. значит ответ: #.
action_pages	19	※ было # ※ и # ※. добавили ещё # ※. на сколько ※ ※, чем ※? # + # = #, # − # = #. значит ответ: #.
action_pages	14	у @ было # ※. ※ ※ ушла. сколько ※ осталось? # ÷ # = #, # − # = #. значит ответ: #.
action_pages	13	у @ было # ※. @ получил ещё # ※. сколько ※ у @ теперь? # + # = #. значит ответ: #.
action_pages	12	у @ было # ※. @ получила ещё # ※. сколько ※ у @ теперь? # + # = #. значит ответ: #.
action_pages	12	# ※ стоят # ※. сколько ※ стоит ※? # ÷ # = #. значит ответ: #.
action_pages	11	у @ было # ※. ※ ※ ушли. сколько ※ осталось? # ÷ # = #, # × # = #, # − # = #. значит ответ: #.
action_pages	11	у @ было # ※. @ отдала # ※. сколько ※ осталось? # − # = #. значит ответ: #.
action_pages	10	у @ было # ※. @ отдал # ※. сколько ※ осталось? # − # = #. значит ответ: #.
action_pages	8	# ※ стоят # ※. сколько ※ стоит одна ※? # ÷ # = #. значит ответ: #.
