# МИР × ЕСТЬ ЛИ В ШКОЛЬНОМ СРЕЗЕ /tmp/full27.txt (19 504 070 байт, 06.09 03:30)
# Свод GENESIS-FULL.txt — 32 549 388 байт, 06.09 14:56, подпись 24676660a30336a9.
#
# ЧИТАТЕЛЬ, УЧЕННЫЙ НА ПОЛОВИНЕ КОРПУСА, ЛЖЁТ О ВТОРОЙ ПОЛОВИНЕ — и мера, снятая
# на той же половине, этой лжи не видит. Стены, найденные на срезе, суть стены
# СРЕЗА, покуда не проверены на своде.
#
# 110 миров в срезе (206 665 строк), 93 вне его (157 702 строки, 43 % свода);
# из вне-срезовых 78 СТАРШЕ среза — выпали не по возрасту, а по отбору.
мир	строк	в_срезе
action_measure	234	НЕТ
action_measure_langs	462	НЕТ
action_pages	4921	НЕТ
actturn	414	НЕТ
age	900	НЕТ
aggregate	430	НЕТ
algebra	1744	да
algebra_units	261	да
algorithms	2256	да
analog	144	НЕТ
anaphora	216	НЕТ
arith_langs	1400	да
average	1300	да
beforetails	3600	НЕТ
behavior	1608	НЕТ
calendar	846	да
calendar_langs	1120	НЕТ
chains_langs	3092	да
clockforms	1053	НЕТ
clockwords	378	НЕТ
cmpframes	6480	НЕТ
compare_langs	480	да
compare_mult	2759	да
compsci	1372	да
conversions	176	да
countfacts	243	НЕТ
cross	4052	НЕТ
cybernetics	1270	да
dataformat	640	да
dateforms	480	НЕТ
definitions	2141	да
degrees	270	НЕТ
depletion	304	да
dialogue	2052	НЕТ
discountroad	2808	НЕТ
disj	216	НЕТ
doctree	516	да
eng_proof	153	да
enough	324	НЕТ
episodeforms	5229	НЕТ
equation	1366	да
equation_signed	1974	да
everyday	4532	да
formula_lang	2583	да
formulas	1106	да
fractions	188	да
genesis_bignum	937	да
genesis_compare	1440	НЕТ
genesis_l4	500	НЕТ
genesis_story	2686	НЕТ
genesis_units	1218	да
genus_diff	1485	НЕТ
geometry	2344	да
geometry_langs	960	да
glyphs	1101	да
gsmforms	2511	НЕТ
gsmlex	400	НЕТ
gsmwide	900	НЕТ
heads	560	НЕТ
holdforms	5703	НЕТ
holes	6100	да
hypo	144	НЕТ
indu	102	НЕТ
infer	1080	НЕТ
inquiry	3902	да
inquiry_de_fr	2108	да
inquiry_es_it	1480	да
inquiry_pl_tr	1537	да
inquiry_pt_nl	2108	да
items	2357	да
joint2	255	НЕТ
joints	2700	НЕТ
kinbearer	486	НЕТ
lang_am	1930	да
lang_ar	2365	да
lang_de	6445	да
lang_el	2680	да
lang_en	2916	да
lang_es	4405	да
lang_fa	2645	да
lang_fi	2900	да
lang_fr	2495	да
lang_he	2525	да
lang_hi	4010	да
lang_hu	2240	да
lang_id	4135	да
lang_it	2545	да
lang_ja	2890	да
lang_ka	3055	да
lang_ko	2140	да
lang_nl	2235	да
lang_pl	2335	да
lang_pt	2695	да
lang_ru	3631	да
lang_sv	2185	да
lang_sw	5820	да
lang_ta	1830	да
lang_th	2085	да
lang_tr	2845	да
lang_uk	2335	да
lang_vi	2935	да
lang_zh	5470	да
letters	360	НЕТ
linalg	3606	да
links	17566	НЕТ
logic_sets	292	да
longdiv	674	да
machine	1814	да
mandateforms	2268	НЕТ
markdown	3428	да
mathfound	1006	да
mathspaces	814	да
md_latex	3260	НЕТ
md_structures	1056	да
measure_story	1104	НЕТ
metalang	1849	да
mixedunits	864	НЕТ
money	450	да
money_langs	1188	да
money_story	795	НЕТ
nature	868	НЕТ
nomention	2160	НЕТ
notation	398	да
notationvar	5386	НЕТ
numberline	5256	НЕТ
numbers	4220	да
numphrase	225	НЕТ
object	272	НЕТ
opforms	3780	НЕТ
opinion	120	НЕТ
opposites	648	НЕТ
orderforms	792	НЕТ
percent	560	да
personforms	3240	НЕТ
physics	1252	да
physics_langs	480	да
physlaws	840	да
place	1296	НЕТ
planforms	2520	НЕТ
price	378	НЕТ
primes_langs	400	да
proform	288	НЕТ
prog	182	да
programs	784	да
pronobject	864	НЕТ
pronouns	480	НЕТ
proof	520	да
propcompare	200	НЕТ
quantforms	648	НЕТ
rates	667	да
readnum	3240	НЕТ
realverbs	240	НЕТ
relation	2084	да
relations_story	1989	НЕТ
remainders	248	да
remainders_langs	320	да
reply	54	НЕТ
rewrite	144	НЕТ
roles	135	НЕТ
roman	387	НЕТ
roundforms	432	НЕТ
ru_compare	168	да
ru_conversions	68	да
ru_story	109	НЕТ
ruler_dense	637	да
ruverbs	355	НЕТ
scale	747	НЕТ
sceneforms	3818	НЕТ
school_biling_v2c	11380	да
search_langs	1280	да
selfmeasure	59	да
selfmodelforms	2097	НЕТ
sequences	2432	да
sequences_langs	320	да
share	976	да
share_langs	560	да
shares_percent	1320	НЕТ
signedworld	1296	НЕТ
space	2301	да
speech	1910	да
speedforms	432	НЕТ
statistics	1176	да
stats_langs	480	да
stenogram	550	да
story_chain	890	да
summaryforms	6102	НЕТ
surfaces	2200	да
svamp	5362	НЕТ
task	2196	НЕТ
tempscale	198	НЕТ
timeunits	420	НЕТ
toolforms	2907	НЕТ
topics	1104	НЕТ
translate	792	НЕТ
two_kinds	360	да
unit_counts	720	НЕТ
unitfrac	198	НЕТ
units_langs	640	да
valence	1256	да
verbal	557	да
verbs	620	НЕТ
verifyforms	3285	НЕТ
worldfacts	2779	НЕТ
