мир	было	стало	срезано	доля среза
school_biling_v2c	38226	6622	31604	0.83
compare_mult	12299	1740	10559	0.86
lang_de	6445	613	5832	0.90
lang_sw	5820	389	5431	0.93
lang_zh	5470	398	5072	0.93
md_latex	5540	1533	4007	0.72
lang_es	4405	437	3968	0.90
lang_id	4135	481	3654	0.88
lang_hi	4010	509	3501	0.87
lang_ru	3631	558	3073	0.85
lang_ka	3055	397	2658	0.87
lang_vi	2935	433	2502	0.85
lang_en	2916	450	2466	0.85
lang_ja	2890	437	2453	0.85
lang_fi	2900	489	2411	0.83
speech	3800	1390	2410	0.63
lang_tr	2845	456	2389	0.84
lang_el	2680	409	2271	0.85
lang_pt	2695	432	2263	0.84
lang_fa	2645	407	2238	0.85
relation	3622	1418	2204	0.61
inquiry	5210	3026	2184	0.42
md_structures	2640	460	2180	0.83
sequences	4240	2064	2176	0.51
lang_he	2525	395	2130	0.84
lang_it	2545	416	2129	0.84
lang_fr	2495	412	2083	0.83
lang_ar	2365	379	1986	0.84
lang_pl	2335	405	1930	0.83
lang_uk	2335	405	1930	0.83
lang_hu	2240	369	1871	0.84
lang_nl	2235	395	1840	0.82
lang_sv	2185	390	1795	0.82
mathfound	2306	520	1786	0.77
lang_ko	2140	374	1766	0.83
geometry	3300	1598	1702	0.52
lang_th	2085	442	1643	0.79
definitions	2926	1328	1598	0.55
inquiry_de_fr	3120	1566	1554	0.50
inquiry_pt_nl	3120	1566	1554	0.50
lang_am	1930	384	1546	0.80
everyday	5433	3922	1511	0.28
calendar	1800	360	1440	0.80
lang_ta	1830	418	1412	0.77
markdown	3845	2571	1274	0.33
algorithms	2500	1298	1202	0.48
genesis_story	3600	2405	1195	0.33
inquiry_pl_tr	2292	1104	1188	0.52
inquiry_es_it	2232	1072	1160	0.52
physlaws	1570	520	1050	0.67
doctree	1290	258	1032	0.80
space	2664	1761	903	0.34
ruler_dense	1251	378	873	0.70
machine	2251	1382	869	0.39
proof	1160	297	863	0.74
items	2978	2150	828	0.28
linalg	3800	3122	678	0.18
statistics	1360	711	649	0.48
share	1320	712	608	0.46
notation	752	199	553	0.74
compsci	1620	1086	534	0.33
formulas	1400	905	495	0.35
algebra	1892	1411	481	0.25
dataformat	1040	592	448	0.43
genesis_l4	500	100	400	0.80
cybernetics	1430	1055	375	0.26
physics	1600	1226	374	0.23
mathspaces	1036	683	353	0.34
remainders	500	164	336	0.67
relations_story	2115	1791	324	0.15
programs	880	565	315	0.36
gsmforms	2560	2260	300	0.12
measure_story	1200	912	288	0.24
age	1112	826	286	0.26
surfaces	2200	1944	256	0.12
chains_langs	3141	2889	252	0.08
logic_sets	448	214	234	0.52
equation	1438	1210	228	0.16
equation_signed	2046	1818	228	0.11
longdiv	824	624	200	0.24
conversions	320	128	192	0.60
eng_proof	311	119	192	0.62
fractions	278	94	184	0.66
metalang	1934	1754	180	0.09
valence	1350	1176	174	0.13
heads	640	472	168	0.26
geometry_langs	960	816	144	0.15
glyphs	1125	984	141	0.13
rates	760	624	136	0.18
share_langs	560	432	128	0.23
numbers	4310	4190	120	0.03
percent	640	520	120	0.19
algebra_units	261	146	115	0.44
selfmeasure	140	31	109	0.78
formula_lang	2590	2488	102	0.04
depletion	400	301	99	0.25
stats_langs	480	384	96	0.20
money_langs	1260	1179	81	0.06
verbal	560	479	81	0.14
prog	224	144	80	0.36
ru_compare	225	146	79	0.35
gsmwide	900	840	60	0.07
genesis_units	1260	1204	56	0.04
genesis_bignum	940	888	52	0.06
ru_story	145	97	48	0.33
ruverbs	355	310	45	0.13
realverbs	240	196	44	0.18
arith_langs	1400	1360	40	0.03
ru_conversions	95	59	36	0.38
shares_percent	1320	1287	33	0.03
action_pages	4921	4897	24	0.00
stenogram	550	526	24	0.04
genesis_compare	1440	1424	16	0.01
money	450	450	0	0.00
money_story	795	795	0	0.00
two_kinds	360	360	0	0.00
genus_diff	1485	1485	0	0.00
unit_counts	720	720	0	0.00
joints	2700	2700	0	0.00
dialogue	952	952	0	0.00
links	8689	8689	0	0.00
behavior	837	837	0	0.00
topics	1072	1072	0	0.00
nature	850	850	0	0.00
opposites	432	432	0	0.00
roles	135	135	0	0.00
scale	747	747	0	0.00
units_langs	640	640	0	0.00
calendar_langs	560	560	0	0.00
sequences_langs	320	320	0	0.00
search_langs	1280	1280	0	0.00
remainders_langs	320	320	0	0.00
primes_langs	400	400	0	0.00
compare_langs	480	480	0	0.00
physics_langs	480	480	0	0.00
holes	6100	6100	0	0.00
aggregate	430	430	0	0.00
verbs	620	620	0	0.00
gsmlex	400	400	0	0.00
average	1300	1300	0	0.00
story_chain	890	890	0	0.00
notationvar	5386	5386	0	0.00
pronouns	480	480	0	0.00
